entry_time,exit_time,side,reason,entry_price,exit_price,return_pct,holding_minutes,tp_sl_mode,sl,tp,sl_mult,tp_mult,atr_at_entry,atr_n,bars_held_close,max_hold_bars
2026-01-26 09:15:00,2026-01-27 20:45:00,LONG,TP,87801.85,89206.68,0.0129,240,ATR_DYNAMIC,87175.65,89206.68,0.0,0.0,0.0,14,16,16
2026-01-27 22:15:00,2026-01-29 03:00:00,LONG,SL,89170.39,88611.4,-0.008869,240,ATR_DYNAMIC,88611.4,90597.12,0.0,0.0,0.0,14,16,16
2026-01-29 15:30:00,2026-01-29 17:00:00,SHORT,SL,84619.99,85466.19,-0.0126,15,ATR_DYNAMIC,85466.19,83266.07,0.0,0.0,0.0,14,1,16
2026-01-29 20:45:00,2026-01-30 01:30:00,LONG,SL,84216.91,83374.74,-0.0126,30,ATR_DYNAMIC,83374.74,85564.38,0.0,0.0,0.0,14,2,16
2026-01-30 02:30:00,2026-01-30 15:00:00,LONG,TP,81984.95,83296.71,0.0129,105,ATR_DYNAMIC,81165.1,83296.71,0.0,0.0,0.0,14,7,16
2026-01-30 17:15:00,2026-01-31 17:45:00,LONG,SL,83385.68,82853.22,-0.008986,165,ATR_DYNAMIC,82853.22,84719.85,0.0,0.0,0.0,14,11,16
2026-01-31 19:45:00,2026-02-01 00:15:00,LONG,TP,77750.01,78994.01,0.0129,60,ATR_DYNAMIC,76972.51,78994.01,0.0,0.0,0.0,14,4,16
2026-02-01 00:30:00,2026-02-01 14:30:00,LONG,SL,78755.54,77967.98,-0.0126,135,ATR_DYNAMIC,77967.98,80015.63,0.0,0.0,0.0,14,9,16
2026-02-01 16:00:00,2026-02-01 21:15:00,LONG,SL,77571.98,76796.26,-0.0126,60,ATR_DYNAMIC,76796.26,78813.13,0.0,0.0,0.0,14,4,16
2026-02-02 01:30:00,2026-02-02 02:30:00,LONG,SL,77710.65,76933.54,-0.0126,15,ATR_DYNAMIC,76933.54,78954.02,0.0,0.0,0.0,14,1,16
2026-02-02 02:45:00,2026-02-02 04:00:00,LONG,SL,76491.17,75726.26,-0.0126,15,ATR_DYNAMIC,75726.26,77715.03,0.0,0.0,0.0,14,1,16
2026-02-02 06:00:00,2026-02-02 09:15:00,LONG,TP,75647.75,76858.11,0.0129,45,ATR_DYNAMIC,74891.27,76858.11,0.0,0.0,0.0,14,3,16
2026-02-02 19:00:00,2026-02-03 15:15:00,LONG,SL,78520.0,77734.8,-0.0126,165,ATR_DYNAMIC,77734.8,79776.32,0.0,0.0,0.0,14,11,16
2026-02-03 15:30:00,2026-02-03 17:30:00,LONG,SL,77480.0,76705.2,-0.0126,30,ATR_DYNAMIC,76705.2,78719.68,0.0,0.0,0.0,14,2,16
2026-02-03 18:30:00,2026-02-03 19:00:00,LONG,SL,73726.8,72989.53,-0.0001,15,ATR_DYNAMIC,72989.53,74906.43,0.0,0.0,0.0,14,1,16
2026-02-03 21:30:00,2026-02-03 23:00:00,LONG,SL,76368.51,75604.82,-0.0126,15,ATR_DYNAMIC,75604.82,77590.41,0.0,0.0,0.0,14,1,16
2026-02-04 00:45:00,2026-02-04 14:00:00,LONG,SL,75910.88,75151.77,-0.0126,165,ATR_DYNAMIC,75151.77,77125.45,0.0,0.0,0.0,14,11,16
2026-02-04 15:45:00,2026-02-04 16:30:00,LONG,SL,74136.36,73395.0,-0.0126,30,ATR_DYNAMIC,73395.0,75322.54,0.0,0.0,0.0,14,2,16
2026-02-04 18:00:00,2026-02-05 03:00:00,LONG,SL,72858.9,72130.31,-0.0126,75,ATR_DYNAMIC,72130.31,74024.64,0.0,0.0,0.0,14,5,16
2026-02-05 09:15:00,2026-02-05 13:15:00,LONG,SL,71736.95,71019.58,-0.0126,15,ATR_DYNAMIC,71019.58,72884.74,0.0,0.0,0.0,14,1,16
2026-02-05 16:30:00,2026-02-05 20:30:00,LONG,SL,67873.52,67194.78,-0.0126,15,ATR_DYNAMIC,67194.78,68959.5,0.0,0.0,0.0,14,1,16
