entry_time,exit_time,side,entry_price,exit_price,tp,sl,bars_held,pnl,return,exit_reason
2025-07-17 20:15:00+00:00,2025-07-18 00:15:00+00:00,long,119039.46,119501.0,121443.9502857143,117536.65357142859,16,461.5399999999936,0.0038772017278975693,timeout
2025-07-18 01:30:00+00:00,2025-07-18 05:30:00+00:00,long,120365.75,120280.01,122768.35,118864.125,16,-85.74000000000524,-0.0007123288809317039,timeout
2025-07-18 06:30:00+00:00,2025-07-18 08:30:00+00:00,short,120257.14,118476.41285714286,118476.41285714286,121444.29142857142,8,1780.7271428571403,0.014807662504339786,tp
2025-07-18 09:45:00+00:00,2025-07-18 13:45:00+00:00,short,118875.01,118773.38,117103.15428571428,120056.24714285714,16,101.6299999999901,0.0008549315789751783,timeout
2025-07-18 14:45:00+00:00,2025-07-18 18:45:00+00:00,short,118139.99,117310.72,116266.01257142858,119389.30828571429,16,829.2700000000041,0.007019384376111798,timeout
2025-07-18 19:45:00+00:00,2025-07-18 23:45:00+00:00,long,117374.76,117924.84,119843.39199999999,115831.86499999999,16,550.0800000000017,0.004686527154560331,timeout
2025-07-19 00:45:00+00:00,2025-07-19 04:45:00+00:00,long,117739.7,118134.83,120084.96285714285,116273.91071428571,16,395.13000000000466,0.0033559623474495406,timeout
2025-07-19 05:45:00+00:00,2025-07-19 09:45:00+00:00,short,118205.98,118244.3,116560.52114285713,119302.95257142857,16,-38.320000000006985,-0.00032417987651730466,timeout
2025-07-19 10:45:00+00:00,2025-07-19 14:45:00+00:00,short,118440.38,117668.14,116873.61542857143,119484.88971428572,16,772.2400000000052,0.006520073643802943,timeout
2025-07-19 15:45:00+00:00,2025-07-19 19:45:00+00:00,short,118058.11,118007.88,116509.82714285715,119090.29857142858,16,50.229999999995925,0.00042546844092282963,timeout
2025-07-19 20:45:00+00:00,2025-07-20 00:45:00+00:00,long,117720.01,117942.31,119622.44542857142,116530.98785714286,16,222.3000000000029,0.0018883790444802282,timeout
2025-07-20 02:00:00+00:00,2025-07-20 06:00:00+00:00,long,117900.0,117783.79,119684.58971428571,116784.63142857143,16,-116.2100000000064,-0.0009856658184903002,timeout
2025-07-20 07:00:00+00:00,2025-07-20 11:00:00+00:00,long,117850.78,117900.04,119388.80857142857,116889.51214285714,16,49.25999999999476,0.0004179862025520303,timeout
2025-07-20 12:00:00+00:00,2025-07-20 16:00:00+00:00,long,117889.21,118621.54,119225.62257142858,117053.95214285715,16,732.3299999999872,0.006212018894689236,timeout
2025-07-20 17:00:00+00:00,2025-07-20 21:00:00+00:00,short,118345.52,118020.0,117358.41714285714,119003.58857142857,16,325.5200000000041,0.0027505899674107144,timeout
2025-07-20 22:00:00+00:00,2025-07-20 22:30:00+00:00,short,116918.3,117552.37942857142,115967.18085714286,117552.37942857142,2,-634.0794285714219,-0.005423269313455823,sl
2025-07-20 23:30:00+00:00,2025-07-21 03:00:00+00:00,long,117246.57,118514.72885714287,118514.72885714287,116453.97071428572,14,1268.1588571428583,0.010816170205600542,tp
2025-07-21 04:00:00+00:00,2025-07-21 08:00:00+00:00,long,118365.74,119380.01,119798.95371428572,117469.98142857144,16,1014.2699999999895,0.008568949089491516,timeout
2025-07-21 09:00:00+00:00,2025-07-21 12:00:00+00:00,short,118927.03,117794.53942857143,117794.53942857143,119682.02371428571,12,1132.4905714285705,0.009522566664858028,tp
2025-07-21 13:00:00+00:00,2025-07-21 13:45:00+00:00,short,117976.2,118796.06228571429,116746.40657142857,118796.06228571429,3,-819.8622857142909,-0.0069493871282029,sl
2025-07-21 14:45:00+00:00,2025-07-21 16:15:00+00:00,short,118828.99,117599.19657142858,117599.19657142858,119648.8522857143,6,1229.793428571429,0.010349271070733069,tp
2025-07-21 17:15:00+00:00,2025-07-21 21:15:00+00:00,short,117581.44,117222.21,116250.808,118468.528,16,359.2299999999959,0.0030551590455091884,timeout
2025-07-21 22:15:00+00:00,2025-07-22 01:15:00+00:00,long,117409.64,116280.96357142857,119215.52228571428,116280.96357142857,12,-1128.6764285714307,-0.00961314955544903,sl
2025-07-22 02:15:00+00:00,2025-07-22 06:15:00+00:00,long,117564.01,117709.69,119514.54942857142,116344.92285714285,16,145.68000000000757,0.001239154737916881,timeout
2025-07-22 07:30:00+00:00,2025-07-22 11:30:00+00:00,long,118189.32,119057.78,120274.56914285716,116886.03928571429,16,868.4599999999919,0.007348041261257716,timeout
2025-07-22 12:30:00+00:00,2025-07-22 14:00:00+00:00,short,119371.99,117572.25914285715,117572.25914285715,120571.81057142858,6,1799.7308571428584,0.015076659584403832,tp
2025-07-22 15:00:00+00:00,2025-07-22 19:00:00+00:00,long,119172.12,119817.43,121571.76114285714,117672.34428571428,16,645.3099999999977,0.005414941011370761,timeout
2025-07-22 20:30:00+00:00,2025-07-23 00:30:00+00:00,short,119664.99,119824.92,117751.55828571429,120940.61114285715,16,-159.92999999999302,-0.001336481121169968,timeout
2025-07-23 01:30:00+00:00,2025-07-23 05:30:00+00:00,short,119548.29,118665.72,117578.26628571427,120861.63914285714,16,882.5699999999924,0.007382539725160372,timeout
2025-07-23 06:30:00+00:00,2025-07-23 10:30:00+00:00,short,118420.01,118280.0,116542.39742857142,119671.75171428571,16,140.00999999999476,0.0011823170763116365,timeout
2025-07-23 11:30:00+00:00,2025-07-23 15:30:00+00:00,short,118562.82,118273.55,116798.706,119738.89600000001,16,289.2700000000041,0.0024398036416475592,timeout
2025-07-23 16:30:00+00:00,2025-07-23 20:30:00+00:00,long,117771.12,117883.39,120091.88685714286,116320.6407142857,16,112.27000000000407,0.0009532897369066718,timeout
2025-07-23 21:30:00+00:00,2025-07-24 01:30:00+00:00,long,117846.21,118991.29,120157.74142857143,116401.50285714286,16,1145.0799999999872,0.009716731662392767,timeout
2025-07-24 02:45:00+00:00,2025-07-24 06:45:00+00:00,short,118960.6,117466.81,117306.36142857143,120063.42571428572,16,1493.7900000000081,0.012557014675447233,timeout
2025-07-24 07:45:00+00:00,2025-07-24 11:45:00+00:00,long,118416.21,118600.0,120682.47514285715,116999.79428571429,16,183.7899999999936,0.0015520679136749402,timeout
2025-07-24 12:45:00+00:00,2025-07-24 16:45:00+00:00,long,118531.42,118529.97,120639.07828571428,117214.13357142857,16,-1.4499999999970896,-1.2233043356749541e-05,timeout
2025-07-24 17:45:00+00:00,2025-07-24 21:45:00+00:00,short,119122.94,118527.52,117598.27914285715,120139.38057142857,16,595.4199999999983,0.0049983655541073636,timeout
2025-07-24 22:45:00+00:00,2025-07-25 02:30:00+00:00,short,118280.01,116856.47742857142,116856.47742857142,119229.03171428571,15,1423.5325714285718,0.012035276049000773,tp
2025-07-25 03:30:00+00:00,2025-07-25 07:30:00+00:00,short,115400.0,115181.06,113864.61542857143,116423.58971428571,16,218.94000000000233,0.0018972270363951675,timeout
2025-07-25 08:30:00+00:00,2025-07-25 12:30:00+00:00,long,115106.6,116419.75,117221.56342857143,113784.74785714287,16,1313.1499999999942,0.01140812082017881,timeout
