side,entry_idx,exit_idx,entry,exit,pnl,hold_bars,reason,timestamp_entry,timestamp_exit
short,125,127,97533.01,97105.65142857142,427.35857142857276,2,tp,2025-05-07 01:30:00+00:00,2025-05-07 02:00:00+00:00
short,128,130,96967.95,96580.63542857142,387.31457142857835,2,tp,2025-05-07 02:15:00+00:00,2025-05-07 02:45:00+00:00
long,277,278,100634.93,101308.32314285713,673.3931428571377,1,tp,2025-05-08 15:30:00+00:00,2025-05-08 15:45:00+00:00
long,515,519,103781.06,104390.308,609.2480000000069,4,tp,2025-05-11 03:00:00+00:00,2025-05-11 04:00:00+00:00
long,672,673,101965.64,101562.92071428572,-402.71928571428,1,sl,2025-05-12 18:15:00+00:00,2025-05-12 18:30:00+00:00
long,678,681,101556.97,102319.55514285715,762.5851428571477,3,tp,2025-05-12 19:45:00+00:00,2025-05-12 20:30:00+00:00
long,861,864,102880.67,103420.12257142857,539.4525714285701,3,tp,2025-05-14 17:30:00+00:00,2025-05-14 18:15:00+00:00
short,955,961,103846.28,103313.51085714286,532.7691428571416,6,tp,2025-05-15 17:00:00+00:00,2025-05-15 18:30:00+00:00
short,1244,1245,105818.63,105399.0422857143,419.58771428570617,1,tp,2025-05-18 17:15:00+00:00,2025-05-18 17:30:00+00:00
short,1246,1247,105516.22,105056.74514285715,459.47485714284994,1,tp,2025-05-18 17:45:00+00:00,2025-05-18 18:00:00+00:00
long,1256,1261,103668.27,104395.92257142857,727.6525714285672,5,tp,2025-05-18 20:15:00+00:00,2025-05-18 21:30:00+00:00
short,1272,1273,106542.32,105910.75314285715,631.5668571428541,1,tp,2025-05-19 00:15:00+00:00,2025-05-19 00:30:00+00:00
long,1294,1296,103042.64,102611.31714285714,-431.32285714286263,2,sl,2025-05-19 05:45:00+00:00,2025-05-19 06:15:00+00:00
long,1300,1302,102608.69,103356.2682857143,747.5782857142913,2,tp,2025-05-19 07:15:00+00:00,2025-05-19 07:45:00+00:00
