feature,count,mean,std,min,25%,50%,75%,max,split,nan_ratio,const_flag
ret_1,26297.0,2.1899634272890023e-05,0.0028570293762209486,-0.04485112546445291,-0.001233287079412948,1.4967566708268265e-05,0.0012922019719150413,0.032160815336911064,train,0.0,0.0
ret_4,26297.0,8.706686920712172e-05,0.005661769866632131,-0.06409449325786021,-0.002255067388671761,7.341357363421785e-05,0.002448107551216827,0.06317099148032357,train,0.0,0.0
ret_16,26297.0,0.00035069496159911416,0.011234683897024733,-0.08670876605015687,-0.004327475184593421,0.000275619711871844,0.005154858949286023,0.1056526642373381,train,0.0,0.0
hl_range,26297.0,0.003642487815197978,0.0030852807414449507,9.676452353198007e-05,0.0018227556671438268,0.0028248291714654964,0.0044432216939016625,0.08712491725627654,train,0.0,0.0
body,26297.0,0.0045823368092512175,0.5586878572006265,-0.9999999999999983,-0.4939687267312668,0.007235776605165796,0.4958677685950393,0.9999999999999987,train,0.0,0.0
bb_z,26297.0,0.04787291813613635,1.321572638410198,-4.115651710167511,-0.9796145759668488,0.10527645599936428,1.0830554806441448,3.9768729725037737,train,0.0,0.0
rsi14,26297.0,50.70256225633756,15.377277564598748,2.8035207396020496,40.00171140775496,50.6731656798071,61.53917398707495,99.38937526639313,train,0.0,0.0
atr14,26297.0,299.43761211219106,191.64982054706485,33.82785714286001,170.20642857142852,248.78285714285863,371.3807142857144,2030.808571428571,train,0.0,0.0
upper_shadow,26297.0,0.25206502216578486,0.21504664944375412,0.0,0.06880161216131142,0.20723933009175804,0.39142195496915727,0.9998360252520696,train,0.0,0.0
lower_shadow,26297.0,0.2571315959148994,0.21713243062247012,0.0,0.07292006935197104,0.21342198027754858,0.3973588596981943,0.9997075168179068,train,0.0,0.0
slope_8,26297.0,1.3452405307834918,91.45679117651186,-786.8052380952445,-35.20297619047933,2.3210714285698693,38.66559523808666,1104.739404761904,train,0.0,0.0
slope_16,26297.0,1.3544023261445206,64.14032740765896,-390.2084411764685,-23.80588235293857,1.703338235295271,27.59679411764872,693.5336176470619,train,0.0,0.0
slope_32,26297.0,1.3245591257804243,44.89494224578149,-257.8344703079167,-16.64147543988258,1.2925513196479175,20.908344941348737,356.75060850439735,train,0.0,0.0
slope_64,26297.0,1.2968441064046545,31.418867758813988,-161.6478498168494,-12.33190315934068,1.2159562728939044,16.218568452381092,189.01406112637406,train,0.0,0.0
vol_chg,26297.0,0.1874750347104126,0.9196173965013597,-0.9075555287430926,-0.29960123693390195,-0.0353678622246677,0.36903383320664385,27.893807018600015,train,0.0,0.0
ret_1,8640.0,2.3263136089285817e-05,0.0018127719258674106,-0.01903842641057385,-0.0009113084323006393,-8.016757502615768e-06,0.0009329559930700837,0.01812401956269083,test,0.0,0.0
ret_4,8640.0,9.336320566640072e-05,0.003544350031711258,-0.027372474723954876,-0.0016160277212820817,6.183679013938015e-05,0.0018120199304119122,0.02641004973339367,test,0.0,0.0
ret_16,8640.0,0.0003775063814413357,0.006863653137159511,-0.03742170100341369,-0.0030955339787747393,0.000228954818470406,0.00382490064373453,0.03458017966698246,test,0.0,0.0
hl_range,8640.0,0.0023662769020218045,0.0016733594183136746,8.762904028816381e-08,0.0012755441066900032,0.001970012102139948,0.00297013498304154,0.02821775291093307,test,0.0,0.0
body,8640.0,0.005311233732301778,0.589797885576213,-0.9999999999999979,-0.5233150970925518,-0.005658655700761116,0.5377880510289786,0.9999999999999979,test,0.0,0.0
bb_z,8640.0,0.05515545439801483,1.3182048092508871,-3.9439530903554383,-0.9874220258164668,0.09576159933765116,1.0991711814758849,4.004269788634797,test,0.0,0.0
rsi14,8640.0,50.80149579571969,15.444508716596529,0.020263937789621878,40.11062815772575,50.87885593984325,61.594470774554665,97.10787808377056,test,0.0,0.0
atr14,8640.0,257.4171072255291,119.68206236245406,26.204285714284715,167.82482142857043,235.5489285714258,328.47964285714545,853.9535714285709,test,0.0,0.0
upper_shadow,8640.0,0.23743613294540303,0.2204706747624144,0.0,0.04488717117607469,0.18694245297062773,0.37454202541982035,0.9999407863571157,test,0.0,0.0
lower_shadow,8640.0,0.2426074024252015,0.22402163269685144,0.0,0.04674387537917609,0.18976817623684128,0.3868616774626471,0.9999999999,test,0.0,0.0
slope_8,8640.0,2.280193397262274,75.16227508634299,-482.5428571428622,-34.35178571428918,1.2325595238038418,39.63494047618897,520.5859523809457,test,0.0,0.0
slope_16,8640.0,2.2983375697865815,51.346348727496554,-293.59761764705684,-23.85281985294031,1.462161764706965,29.048555147060387,251.68523529411848,test,0.0,0.0
slope_32,8640.0,2.294479040022313,35.75707788751967,-148.90042155425292,-15.618273918621217,1.9512041788854542,19.935557184750643,157.72421370967731,test,0.0,0.0
slope_64,8640.0,2.2507824545466275,25.565866897751462,-80.9204684065929,-11.09929956501873,1.5747865155677299,15.478698088370216,108.26182326007388,test,0.0,0.0
vol_chg,8640.0,0.19487957363688097,1.0150726277547673,-0.9908085716892754,-0.3056855429977958,-0.031942353646123356,0.38364228089221786,30.310538256444417,test,0.0,0.0
