feature,psi
hl_range,0.34652209361230857
atr14,0.123262398952241
ret_16,0.10993216488178759
ret_1,0.10868393912698665
ret_4,0.10004181233970924
lower_shadow,0.026318990652590406
upper_shadow,0.024478286245600094
body,0.01625659846207405
slope_64,0.014940917214588465
slope_32,0.014800082748873226
slope_16,0.010882880126231903
slope_8,0.003998376969003636
rsi14,0.0013159289250005313
bb_z,0.0011118087630491238
vol_chg,0.0008253792336394312
